modname:icbmclassic

modellist:id=%glassbutton,state=powered:true/facing:south,box=5.000000/0.000000/6.000000:11.000000/1.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/15.000000:s/0/5.000000/14.000000/11.000000/15.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/15.000000:n/0/5.000000/14.000000/11.000000/15.000000:R/90/180/0
modellist:id=%glassbutton,state=powered:true/facing:down,box=5.000000/0.000000/6.000000:11.000000/1.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/15.000000:s/0/5.000000/14.000000/11.000000/15.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/15.000000:n/0/5.000000/14.000000/11.000000/15.000000:R/180/0/0
modellist:id=%glassbutton,state=powered:true/facing:up,box=5.000000/0.000000/6.000000:11.000000/1.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/15.000000:s/0/5.000000/14.000000/11.000000/15.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/15.000000:n/0/5.000000/14.000000/11.000000/15.000000
modellist:id=%glassbutton,state=powered:false/facing:west,box=5.000000/0.000000/6.000000:11.000000/2.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/16.000000:s/0/5.000000/14.000000/11.000000/16.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/16.000000:n/0/5.000000/14.000000/11.000000/16.000000:R/90/270/0
modellist:id=%glassbutton,state=powered:true/facing:east,box=5.000000/0.000000/6.000000:11.000000/1.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/15.000000:s/0/5.000000/14.000000/11.000000/15.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/15.000000:n/0/5.000000/14.000000/11.000000/15.000000:R/90/90/0
modellist:id=%glassbutton,state=powered:true/facing:west,box=5.000000/0.000000/6.000000:11.000000/1.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/15.000000:s/0/5.000000/14.000000/11.000000/15.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/15.000000:n/0/5.000000/14.000000/11.000000/15.000000:R/90/270/0
modellist:id=%glassbutton,state=powered:false/facing:east,box=5.000000/0.000000/6.000000:11.000000/2.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/16.000000:s/0/5.000000/14.000000/11.000000/16.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/16.000000:n/0/5.000000/14.000000/11.000000/16.000000:R/90/90/0
modellist:id=%glassbutton,state=powered:false/facing:down,box=5.000000/0.000000/6.000000:11.000000/2.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/16.000000:s/0/5.000000/14.000000/11.000000/16.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/16.000000:n/0/5.000000/14.000000/11.000000/16.000000:R/180/0/0
modellist:id=%glassbutton,state=powered:false/facing:up,box=5.000000/0.000000/6.000000:11.000000/2.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/16.000000:s/0/5.000000/14.000000/11.000000/16.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/16.000000:n/0/5.000000/14.000000/11.000000/16.000000
modellist:id=%glassbutton,state=powered:false/facing:south,box=5.000000/0.000000/6.000000:11.000000/2.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/16.000000:s/0/5.000000/14.000000/11.000000/16.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/16.000000:n/0/5.000000/14.000000/11.000000/16.000000:R/90/180/0
modellist:id=%glassbutton,state=powered:false/facing:north,box=5.000000/0.000000/6.000000:11.000000/2.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/16.000000:s/0/5.000000/14.000000/11.000000/16.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/16.000000:n/0/5.000000/14.000000/11.000000/16.000000:R/90/0/0
modellist:id=%glassbutton,state=powered:true/facing:north,box=5.000000/0.000000/6.000000:11.000000/1.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/15.000000:s/0/5.000000/14.000000/11.000000/15.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/15.000000:n/0/5.000000/14.000000/11.000000/15.000000:R/90/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:hypersonic, id=21)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:shrapnel, id=1)/rotation:north,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:shrapnel, id=1)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:colors, id=12)/rotation:north,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:condensed, id=0)/rotation:north,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:repulsive, id=6)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:chemical, id=4)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:condensed, id=0)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:redmatter, id=23)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:antimatter, id=22)/rotation:north,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:fragmentation, id=8)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:thermobaric, id=13)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:fragmentation, id=8)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:thermobaric, id=13)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:exothermic, id=17)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:hypersonic, id=21)/rotation:east,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/90/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:antimatter, id=22)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:incendiary, id=2)/rotation:north,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:antimatter, id=22)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:repulsive, id=6)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:exothermic, id=17)/rotation:north,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:debilitation, id=3)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:debilitation, id=3)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:incendiary, id=2)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:debilitation, id=3)/rotation:north,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:incendiary, id=2)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:chemical, id=4)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:fragmentation, id=8)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:thermobaric, id=13)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:colors, id=12)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:sonic, id=10)/rotation:east,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/90/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:contagious, id=9)/rotation:east,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/90/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:colors, id=12)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:breaching, id=11)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:shrapnel, id=1)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:hypersonic, id=21)/rotation:north,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:shrapnel, id=1)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:hypersonic, id=21)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:smoke, id=14)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:exothermic, id=17)/rotation:east,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/90/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:emp, id=16)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:sonic, id=10)/rotation:north,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:chemical, id=4)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:ender, id=20)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:condensed, id=0)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:condensed, id=0)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:antimatter, id=22)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:endothermic, id=18)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:endothermic, id=18)/rotation:north,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:ender, id=20)/rotation:north,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:ender, id=20)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:incendiary, id=2)/rotation:east,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/90/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:debilitation, id=3)/rotation:east,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/90/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:redmatter, id=23)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:nuclear, id=15)/rotation:east,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/90/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:attractive, id=7)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
